Id,Name,CourseType,Credits,Faculty
a2d06b94-4f21-50f5-979c-a6c90b9616f9,Empirinių procesų teorijos įvadas, Optional,5,MIF
a6f348c1-bcde-5990-9619-ca3c4dbadd26,Erdvinės duomenų bazės, Compulsory,5,MIF
1224f42a-8d5c-5855-94f5-111b2a0c6726,Erdvinės duomenų bazės, Optional,5,MIF
63ad73af-d773-5e47-b376-a5d32f82a91b,Euristiniai algoritmai NP-pilniems uždaviniams, Optional,5,MIF
b0de6536-9cd8-564f-816e-95c2e646805e,Evoliucinių diferencialinių lygčių skaitiniai sprendimo metodai, Optional,5,MIF
8892b311-421b-5452-9293-7adf98727537,Filosofijos įvadas, Compulsory,5,MIF
26922aa0-d41b-57c9-895b-a510436e4a5f,Finansinė analizė, Optional,5,MIF
cf02e8ef-7bb6-5768-9a78-5e14c76a36aa,Finansiniai burbulai ir ekonominės krizės, Optional,5,MIF
c8bd94f8-7b79-5d2d-a7d1-2a4c5789249e,Finansiniai išvestiniai instrumentai, Optional,5,MIF
452de5bc-79d9-5f7b-af6f-1d822d612f0d,Finansiniai skaičiavimai, Compulsory,5,MIF
d5af72ae-4a11-5d2e-b255-2458d5d4dd9d,Finansiniai skaičiavimai, Optional,5,MIF
59390b80-ee89-58c9-bdea-58c8327bf98d,Finansinis intelektas, Optional,5,MIF
3f09bfb2-12da-5bd3-bc9e-a0a95dbc3f79,Finansinių rizikų valdymas, Compulsory,5,MIF
16e0dddd-176d-5dd4-9338-78aa4315d5fa,Finansų ekonometrija, Compulsory,5,MIF
bca11d46-41cc-5c4c-9bd9-e78459ddf2de,Finansų ekonometrijos modeliai, Compulsory,5,MIF
0ba47b55-0b9a-599a-b066-d5792a55d19f,Finansų ekonomika, Compulsory,5,MIF
9e54c82a-d47a-5668-ba8a-983c2a0c518a,Finansų ekonomika, Optional,5,MIF
e49bdcdb-7551-5d08-b10f-e6d63a6d37d0,Finansų ekonomikos modeliai, Optional,5,MIF
c80a2cc3-4d37-5434-9853-54c6f8fb2e75,Finansų matematika, Compulsory,5,MIF
15585465-7e9a-57ad-b8e8-10cbf7a9d4f9,Finansų matematika, Optional,5,MIF
83e05e1a-20e8-5ba6-8159-34de9517ed6f,Finansų rinkų matematika, Optional,5,MIF
627f201a-0630-540b-8b32-24501c3529e0,Fizika, Compulsory,5,MIF
8d0e4228-62f1-5b2c-a05b-1f9e80552339,Fizika, Optional,5,MIF
c2f2a5a1-6c17-5479-b22f-688466abfade,Fizika informatikams, Optional,5,MIF
0252843a-9963-5144-b419-9a72a5d1eaf9,Fizikinė chemija, Compulsory,5,MIF
ae5ce52f-8b09-51f7-8693-8e5736802501,Funkcijų erdvės, Compulsory,5,MIF
ea2351c4-b5e8-5b6c-a86a-0f6a73da024f,Funkcijų erdvės, Optional,5,MIF
70cb244c-5264-526a-8ec9-92e04f950cd4,Funkcinė analizė, Compulsory,5,MIF
76ab4e92-a2a7-5547-8423-7b074bf828e7,Funkcinis programavimas, Compulsory,5,MIF
b298cb76-fa2e-583d-9bc0-47ca98191497,Funkcinis programavimas, Optional,5,MIF
6e07162c-4801-551d-a393-c492ca040cee,Funkcinių duomenų analizė, Compulsory,5,MIF
b74c4274-c379-5d54-a1eb-16f1ff8b5d29,Funkcinių duomenų statistika, Optional,5,MIF
ea2cbeba-a6ae-5e59-98d1-426bd6948bac,Gamtos ir socialinių reiškinių modeliavimas, Optional,5,MIF
dbf67398-4baa-5c01-b979-25370e312429,Genetika, Compulsory,5,MIF
4b6a8295-9131-577e-b595-4622c95a24a2,Geografinės informacinės sistemos, Optional,5,MIF
75a84e45-ade7-51e7-8c6d-c74ab008587f,Geometrija, Compulsory,5,MIF
60be6371-486a-5b13-879c-39ec24a4dc65,Geometrija ir vizualizavimas, Compulsory,5,MIF
33ffba45-7fa9-5c6e-8afa-054110bb2756,Geometrijos aksiominiai pagrindai, Compulsory,5,MIF
